article_id,product_code,prod_name,product_type_no,product_type_name,product_group_name,graphical_appearance_no,graphical_appearance_name,colour_group_code,colour_group_name,perceived_colour_value_id,perceived_colour_value_name,perceived_colour_master_id,perceived_colour_master_name,department_no,department_name,index_code,index_name,index_group_no,index_group_name,section_no,section_name,garment_group_no,garment_group_name,detail_desc,image_path,price,popularity_score
0790518003,0790518,Tie 2-pack poly rips,82,Tie,Accessories,1010016,Solid,21,Light Yellow,1,Dusty Light,11,Beige,9986,Small Accessories,F,Menswear,3,Menswear,25,Men Accessories,1019,Accessories,Solid colour ties in a grosgrain weave. Width 6.5 cm.,images/079/0790518003.jpg,0.01357043,0.37455756
0638458001,0638458,Cool Garfield cat sunglasse,81,Sunglasses,Accessories,1010016,Solid,33,Dark Orange,2,Medium Dusty,13,Brown,8888,Sunglasses,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,"Sunglasses with plastic frames and UV-protective, tinted lenses.",images/063/0638458001.jpg,0.01161017,0.26406871
0801961005,0801961,Louise Dress Follow up,265,Dress,Garment Full body,1010016,Solid,31,Light Orange,5,Bright,3,Orange,7613,Kids Girl Dresses,H,Children Sizes 92-140,4,Baby/Children,76,Kids Girl,1014,Dresses/Skirts girls,"Dress in woven fabric with a small opening and button at the back of the neck, 3/4-length sleeves with a flounced trim, and a flounce at the hem. Slightly longer at the back. Unlined.",images/080/0801961005.jpg,0.02418182,0.34529694
0660541015,0660541,3P LS PJ SOLID,295,Pyjama jumpsuit/playsuit,Nightwear,1010016,Solid,43,Dark Red,4,Dark,18,Red,6563,Baby Nightwear,G,Baby Sizes 50-98,4,Baby/Children,44,Baby Essentials & Complements,1017,"Under-, Nightwear","All-in-one pyjamas in soft organic cotton jersey with long sleeves, press-studs down the front and along one leg, and ribbing at the cuffs and hems.",images/066/0660541015.jpg,0.03049153,0.27365085
0609357004,0609357,Poppy jumpsuit,268,Dungarees,Garment Full body,1010016,Solid,53,Dark Pink,4,Dark,4,Pink,5961,Dresses DS,D,Divided,2,Divided,58,Divided Selected,1013,Dresses Ladies,"Playsuit in a crinkled viscose weave with a V-neck, narrow, double shoulder straps that cross at the back and a narrow, detachable tie belt at the waist. Unlined.",images/060/0609357004.jpg,0.01891019,0.66596810
0487937003,0487937,Thin sleeping bag,49,Sleeping sack,Underwear/nightwear,1010001,All over pattern,12,Light Beige,2,Medium Dusty,11,Beige,6563,Baby Nightwear,G,Baby Sizes 50-98,4,Baby/Children,44,Baby Essentials & Complements,1017,"Under-, Nightwear","Lightly padded sleep bag in soft, patterned cotton jersey with press-studs at the front and a jersey lining. The sleep bag is designed for indoor use only.",images/048/0487937003.jpg,0.03176271,0.24196981
0869230001,0869230,Zinny dress,265,Dress,Garment Full body,1010001,All over pattern,08,Dark Grey,4,Dark,12,Grey,1322,Dress,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1013,Dresses Ladies,"Short, A-line dress in crinkled chiffon with a stand-up collar, covered buttons at the top and a seam and wide flounce at the hem. Lined.",images/086/0869230001.jpg,0.06452787,0.49675933
0369796027,0369796,Cool Metal John Round,81,Sunglasses,Accessories,1010016,Solid,91,Light Green,1,Dusty Light,19,Green,8888,Sunglasses,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,"Sunglasses with metal frames and UV-protective, tinted lenses.",images/036/0369796027.jpg,0.00730979,0.66306643
0600886008,0600886,Timeless Highwaist,59,Swimwear bottom,Swimwear,1010016,Solid,17,Yellowish Brown,4,Dark,13,Brown,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,"Fully lined, waist-high bikini bottoms with wide sides and medium coverage at the back.",images/060/0600886008.jpg,0.02379152,0.71873159
0445400023,0445400,Johan s/l pj BB,297,Pyjama set,Nightwear,1010014,Placement print,82,Turquoise,5,Bright,7,Turquoise,4225,Young Boy UW/NW,I,Children Sizes 134-170,4,Baby/Children,72,Boys Underwear & Basics,1017,"Under-, Nightwear",Pyjama T-shirt and shorts in soft cotton jersey. T-shirt with a print motif on the front and shorts with an elasticated waist.,images/044/0445400023.jpg,0.02540678,0.07633298
0293433043,0293433,2-p basic cotton tights SG,304,Underwear Tights,Socks & Tights,1010016,Solid,43,Dark Red,4,Dark,18,Red,7921,Kids Girl S&T,H,Children Sizes 92-140,4,Baby/Children,79,Girls Underwear & Basics,1021,Socks and Tights,"Tights in a soft, fine knit with an elasticated waist.",images/029/0293433043.jpg,0.01523729,0.29062673
0464297028,0464297,Greta Thong Mynta Low 3p,286,Underwear bottom,Underwear,1010016,Solid,31,Light Orange,1,Dusty Light,3,Orange,1334,Casual Lingerie,B,Lingeries/Tights,1,Ladieswear,61,Womens Lingerie,1017,"Under-, Nightwear","Thong briefs in cotton jersey with a wide lace trim at the top. Low waist, lined gusset, narrow sides and a string back.",images/046/0464297028.jpg,0.01366650,0.79170857
0453065031,0453065,Eivor 7-p shaftless,302,Socks,Socks & Tights,1010013,Other pattern,80,Other Turquoise,5,Bright,7,Turquoise,7931,Young Girl S&T,I,Children Sizes 134-170,4,Baby/Children,79,Girls Underwear & Basics,1021,Socks and Tights,Fine-knit trainer socks with elasticated tops.,images/045/0453065031.jpg,0.00970056,0.28246557
0399223030,0399223,Jeggings H.W,272,Trousers,Garment Lower body,1010023,Denim,32,Orange,2,Medium Dusty,3,Orange,1772,Denim Trousers,D,Divided,2,Divided,57,Ladies Denim,1016,Trousers Denim,"Jeggings in washed, superstretch denim with a high waist, fake front pockets, real back pockets and skinny legs.",images/039/0399223030.jpg,0.03170167,0.72621114
0652029001,0652029,Sunglasses Jimmy,81,Sunglasses,Accessories,1010016,Solid,13,Beige,2,Medium Dusty,11,Beige,9986,Small Accessories,F,Menswear,3,Menswear,25,Men Accessories,1019,Accessories,"Sunglasses with transparent plastic frames and UV-protective, tinted lenses.",images/065/0652029001.jpg,0.00895306,0.29062673
0783707026,0783707,1pk Fun 1,302,Socks,Socks & Tights,1010001,All over pattern,91,Light Green,3,Light,19,Green,5999,Socks Wall,F,Menswear,3,Menswear,26,Men Underwear,1021,Socks and Tights,"Socks in a soft, jacquard-knit cotton blend with elasticated tops.",images/078/0783707026.jpg,0.00343840,0.73136155
0633347002,0633347,FLORENCE UW set,288,Underwear set,Underwear,1010016,Solid,10,White,3,Light,9,White,7932,Young Girl UW/NW,I,Children Sizes 134-170,4,Baby/Children,79,Girls Underwear & Basics,1017,"Under-, Nightwear",Set with a top and boxer briefs in soft cotton jersey. Top with a racer back and elasticated hem. Briefs with an elasticated waist and lined gusset.,images/063/0633347002.jpg,0.01278786,0.38166488
0462435016,0462435,6P Tanktopbody pack,256,Bodysuit,Garment Upper body,1010016,Solid,06,Light Grey,1,Dusty Light,12,Grey,6515,Baby basics,G,Baby Sizes 50-98,4,Baby/Children,44,Baby Essentials & Complements,1002,Jersey Basic,Sleeveless bodysuits in soft organic cotton jersey with press-studs at the crotch.,images/046/0462435016.jpg,0.03198411,0.31200820
