article_id,product_code,prod_name,product_type_name,product_group_name,graphical_appearance_name,colour_group_name,perceived_colour_value_name,perceived_colour_master_name,department_name,index_name,index_group_name,section_name,garment_group_name,detail_desc,image_path,popularity_score
0790518003,0790518,Tie 2-pack poly rips,Tie,Accessories,Solid,Light Yellow,Dusty Light,Beige,Small Accessories,Menswear,Menswear,Men Accessories,Accessories,Solid colour ties in a grosgrain weave. Width 6.5 cm.,images/079/0790518003.jpg,0
0638458001,0638458,Cool Garfield cat sunglasse,Sunglasses,Accessories,Solid,Dark Orange,Medium Dusty,Brown,Sunglasses,Ladies Accessories,Ladieswear,Womens Small accessories,Accessories,"Sunglasses with plastic frames and UV-protective, tinted lenses.",images/063/0638458001.jpg,0
0801961005,0801961,Louise Dress Follow up,Dress,Garment Full body,Solid,Light Orange,Bright,Orange,Kids Girl Dresses,Children Sizes 92-140,Baby/Children,Kids Girl,Dresses/Skirts girls,"Dress in woven fabric with a small opening and button at the back of the neck, 3/4-length sleeves with a flounced trim, and a flounce at the hem. Slightly longer at the back. Unlined.",images/080/0801961005.jpg,0
0660541015,0660541,3P LS PJ SOLID,Pyjama jumpsuit/playsuit,Nightwear,Solid,Dark Red,Dark,Red,Baby Nightwear,Baby Sizes 50-98,Baby/Children,Baby Essentials & Complements,"Under-, Nightwear","All-in-one pyjamas in soft organic cotton jersey with long sleeves, press-studs down the front and along one leg, and ribbing at the cuffs and hems.",images/066/0660541015.jpg,0
0609357004,0609357,Poppy jumpsuit,Dungarees,Garment Full body,Solid,Dark Pink,Dark,Pink,Dresses DS,Divided,Divided,Divided Selected,Dresses Ladies,"Playsuit in a crinkled viscose weave with a V-neck, narrow, double shoulder straps that cross at the back and a narrow, detachable tie belt at the waist. Unlined.",images/060/0609357004.jpg,0
0487937003,0487937,Thin sleeping bag,Sleeping sack,Underwear/nightwear,All over pattern,Light Beige,Medium Dusty,Beige,Baby Nightwear,Baby Sizes 50-98,Baby/Children,Baby Essentials & Complements,"Under-, Nightwear","Lightly padded sleep bag in soft, patterned cotton jersey with press-studs at the front and a jersey lining. The sleep bag is designed for indoor use only.",images/048/0487937003.jpg,0
0869230001,0869230,Zinny dress,Dress,Garment Full body,All over pattern,Dark Grey,Dark,Grey,Dress,Ladieswear,Ladieswear,Womens Everyday Collection,Dresses Ladies,"Short, A-line dress in crinkled chiffon with a stand-up collar, covered buttons at the top and a seam and wide flounce at the hem. Lined.",images/086/0869230001.jpg,0
0369796027,0369796,Cool Metal John Round,Sunglasses,Accessories,Solid,Light Green,Dusty Light,Green,Sunglasses,Ladies Accessories,Ladieswear,Womens Small accessories,Accessories,"Sunglasses with metal frames and UV-protective, tinted lenses.",images/036/0369796027.jpg,0
0600886008,0600886,Timeless Highwaist,Swimwear bottom,Swimwear,Solid,Yellowish Brown,Dark,Brown,Swimwear,Lingeries/Tights,Ladieswear,"Womens Swimwear, beachwear",Swimwear,"Fully lined, waist-high bikini bottoms with wide sides and medium coverage at the back.",images/060/0600886008.jpg,0
0445400023,0445400,Johan s/l pj BB,Pyjama set,Nightwear,Placement print,Turquoise,Bright,Turquoise,Young Boy UW/NW,Children Sizes 134-170,Baby/Children,Boys Underwear & Basics,"Under-, Nightwear",Pyjama T-shirt and shorts in soft cotton jersey. T-shirt with a print motif on the front and shorts with an elasticated waist.,images/044/0445400023.jpg,0
